Type,Timekeeper Nickname 1,Client Nickname 1,Activity Nickname 1,Reference Nickname 1,Extra,Date
Expense,TomH,Whitman,Consultants,,Slip: e1040,9/17/2013
Expense,CoreyM,Wilbraham,Hand Tools,AAA-Project,Slip: e1041,9/18/2013
Expense,ElvisP,Williamsburg,Power Tools,EEE-Project,Slip: e1042,9/18/2013
Expense,SamS,Williamstown,Cleanup Supplies,III-Project,Slip: e1043,9/18/2013
Expense,ShawnR,Wilmington,Pavers,OOO-Project,Slip: e1044,9/18/2013
Expense,TomH,Winchendon,Wood,UUU-Project,Slip: e1045,9/19/2013
Expense,CoreyM,Winchester,First aid,WINCH-Project01,Slip: e1046,9/19/2013
Expense,ElvisP,Windsor,Plants,WINDS-Project02,Slip: e1047,9/19/2013
Expense,SamS,Winthrop,Landscape Supplies,,Slip: e1048,9/19/2013
Expense,ShawnR,Woburn,Snacks,AAA-Project,Slip: e1049,9/20/2013
Expense,TomH,Worcester,Consultants,EEE-Project,Slip: e1050,9/20/2013
Expense,CoreyM,Worthington,Hand Tools,III-Project,Slip: e1051,9/20/2013
Expense,ElvisP,Wrentham,Power Tools,OOO-Project,Slip: e1052,9/20/2013
Expense,SamS,Yarmouth,Cleanup Supplies,UUU-Project,Slip: e1053,9/21/2013
Expense,ShawnR,Abington,Pavers,OOO-Project,Slip: e1054,9/21/2013
Expense,TomH,Acton,Wood,UUU-Project,Slip: e1055,9/21/2013
Expense,CoreyM,Acushnet,First aid,,Slip: e1056,9/21/2013
Expense,ElvisP,Adams,Plants,AAA-Project,Slip: e1057,9/22/2013
Expense,SamS,Agawam,Landscape Supplies,AGAWA-Project01,Slip: e1058,9/22/2013
Expense,ShawnR,Alford,Snacks,ALFOR-Project02,Slip: e1059,9/22/2013
Expense,TomH,Amesbury,Consultants,EEE-Project,Slip: e1060,9/22/2013
Expense,CoreyM,Amherst,Hand Tools,III-Project,Slip: e1061,9/23/2013
Expense,ElvisP,Andover,Power Tools,OOO-Project,Slip: e1062,9/23/2013
Expense,SamS,Aquinnah,Cleanup Supplies,UUU-Project,Slip: e1063,9/23/2013
Expense,ShawnR,Arlington,Pavers,,Slip: e1064,9/23/2013
Expense,TomH,Ashburnham,Wood,AAA-Project,Slip: e1065,9/24/2013
Expense,CoreyM,Ashby,First aid,ASHBY-Project01,Slip: e1066,9/24/2013
Expense,ElvisP,Ashfield,Plants,ASHFI-Project02,Slip: e1067,9/24/2013
Expense,SamS,Ashland,Landscape Supplies,EEE-Project,Slip: e1068,9/24/2013
Expense,ShawnR,Athol,Snacks,III-Project,Slip: e1069,9/25/2013
Expense,TomH,Attleboro,Consultants,OOO-Project,Slip: e1070,9/25/2013
Expense,CoreyM,Auburn,Hand Tools,UUU-Project,Slip: e1071,9/25/2013
Expense,ElvisP,Avon,Power Tools,,Slip: e1072,9/25/2013
Expense,SamS,Ayer,Cleanup Supplies,AAA-Project,Slip: e1073,9/26/2013
Expense,ShawnR,Barnstable,Pavers,BARNS-Project01,Slip: e1074,9/26/2013
Expense,TomH,Barre,Wood,BARRE-Project02,Slip: e1075,9/26/2013
Expense,CoreyM,Becket,First aid,EEE-Project,Slip: e1076,9/26/2013
Expense,ElvisP,Bedford,Plants,III-Project,Slip: e1077,9/27/2013
Expense,SamS,Belchertown,Landscape Supplies,OOO-Project,Slip: e1078,9/27/2013
Expense,ShawnR,Bellingham,Snacks,UUU-Project,Slip: e1079,9/27/2013
Expense,TomH,Belmont,Consultants,,Slip: e1080,9/27/2013
Expense,CoreyM,Berkley,Hand Tools,AAA-Project,Slip: e1081,9/28/2013
Expense,ElvisP,Berlin,Power Tools,BERLI-Project01,Slip: e1082,9/28/2013
Expense,SamS,Bernardston,Cleanup Supplies,BERNA-Project02,Slip: e1083,9/28/2013
Expense,ShawnR,Beverly,Pavers,EEE-Project,Slip: e1084,9/28/2013
Expense,TomH,Billerica,Wood,III-Project,Slip: e1085,9/29/2013
Expense,CoreyM,Blackstone,First aid,OOO-Project,Slip: e1086,9/29/2013
Expense,ElvisP,Blandford,Plants,UUU-Project,Slip: e1087,9/29/2013
Expense,SamS,Bolton,Landscape Supplies,,Slip: e1088,9/29/2013
Expense,ShawnR,Boston,Snacks,AAA-Project,Slip: e1089,9/30/2013
Expense,TomH,Bourne,Consultants,BOURN-Project01,Slip: e1090,9/30/2013
Expense,CoreyM,Boxborough,Hand Tools,BOXBO-Project02,Slip: e1091,9/30/2013
Expense,ElvisP,Boxford,Power Tools,EEE-Project,Slip: e1092,9/30/2013
Expense,SamS,Boylston,Cleanup Supplies,III-Project,Slip: e1093,10/1/2013
Expense,ShawnR,Braintree,Pavers,OOO-Project,Slip: e1094,10/1/2013
Expense,TomH,Brewster,Wood,UUU-Project,Slip: e1095,10/1/2013
Expense,CoreyM,Bridgewater,First aid,,Slip: e1096,10/1/2013
Expense,ElvisP,Brimfield,Plants,AAA-Project,Slip: e1097,10/2/2013
Expense,SamS,Brockton,Landscape Supplies,BROCK-Project01,Slip: e1098,10/2/2013
Expense,ShawnR,Brookfield,Snacks,BROOK-Project02,Slip: e1099,10/2/2013
Expense,TomH,Brookline,Consultants,EEE-Project,Slip: e1100,10/2/2013
Expense,CoreyM,Buckland,Hand Tools,III-Project,Slip: e1101,10/3/2013
Expense,ElvisP,Burlington,Power Tools,OOO-Project,Slip: e1102,10/3/2013
Expense,SamS,Cambridge,Cleanup Supplies,UUU-Project,Slip: e1103,10/3/2013
Expense,ShawnR,Canton,Pavers,,Slip: e1104,10/3/2013
Expense,TomH,Carlisle,Wood,AAA-Project,Slip: e1105,10/4/2013
Expense,CoreyM,Carver,First aid,CARVE-Project01,Slip: e1106,10/4/2013
Expense,ElvisP,Charlemont,Plants,CHARL-Project02,Slip: e1107,10/4/2013
Expense,SamS,Charlton,Landscape Supplies,EEE-Project,Slip: e1108,10/4/2013
Expense,ShawnR,Chatham,Snacks,III-Project,Slip: e1109,10/5/2013
Expense,TomH,Chelmsford,Consultants,OOO-Project,Slip: e1110,10/5/2013
Expense,CoreyM,Chelsea,Hand Tools,UUU-Project,Slip: e1111,10/5/2013
Expense,ElvisP,Cheshire,Power Tools,,Slip: e1112,10/5/2013
Expense,SamS,Chester,Cleanup Supplies,AAA-Project,Slip: e1113,10/6/2013
Expense,ShawnR,Chesterfield,Pavers,CHEST-Project01,Slip: e1114,10/6/2013
Expense,TomH,Chicopee,Wood,CHICO-Project02,Slip: e1115,10/6/2013
Expense,CoreyM,Chilmark,First aid,EEE-Project,Slip: e1116,10/6/2013
Expense,ElvisP,Clarksburg,Plants,III-Project,Slip: e1117,10/7/2013
Expense,SamS,Clinton,Landscape Supplies,OOO-Project,Slip: e1118,10/7/2013
Expense,ShawnR,Cohasset,Snacks,UUU-Project,Slip: e1119,10/7/2013
Expense,TomH,Colrain,Consultants,,Slip: e1120,10/7/2013
Expense,CoreyM,Concord,Hand Tools,AAA-Project,Slip: e1121,10/8/2013
Expense,ElvisP,Conway,Power Tools,CONWA-Project01,Slip: e1122,10/8/2013
Expense,SamS,Cummington,Cleanup Supplies,CUMMI-Project02,Slip: e1123,10/8/2013
Expense,ShawnR,Dalton,Pavers,EEE-Project,Slip: e1124,10/8/2013
Expense,TomH,Danvers,Wood,III-Project,Slip: e1125,10/9/2013
Expense,CoreyM,Dartmouth,First aid,OOO-Project,Slip: e1126,10/9/2013
Expense,ElvisP,Dedham,Plants,UUU-Project,Slip: e1127,10/9/2013
Expense,SamS,Deerfield,Landscape Supplies,,Slip: e1128,10/9/2013
Expense,ShawnR,Dennis,Snacks,AAA-Project,Slip: e1129,10/10/2013
Expense,TomH,Dighton,Consultants,DIGHT-Project01,Slip: e1130,10/10/2013
Expense,CoreyM,Douglas,Hand Tools,DOUGL-Project02,Slip: e1131,10/10/2013
Expense,ElvisP,Dover,Power Tools,EEE-Project,Slip: e1132,10/10/2013
Expense,SamS,Dracut,Cleanup Supplies,III-Project,Slip: e1133,10/11/2013
Expense,ShawnR,Dudley,Pavers,OOO-Project,Slip: e1134,10/11/2013
Expense,TomH,Dunstable,Wood,UUU-Project,Slip: e1135,10/11/2013
Expense,CoreyM,Duxbury,First aid,,Slip: e1136,10/11/2013
Expense,ElvisP,East Bridgewater,Plants,AAA-Project,Slip: e1137,10/12/2013
Expense,SamS,East Brookfield,Landscape Supplies,EASTB-Project01,Slip: e1138,10/12/2013
Expense,ShawnR,East Longmeadow,Snacks,EASTL-Project02,Slip: e1139,10/12/2013
Expense,TomH,Eastham,Consultants,EEE-Project,Slip: e1140,10/12/2013
Expense,CoreyM,Easthampton,Hand Tools,III-Project,Slip: e1141,10/13/2013
Expense,ElvisP,Easton,Power Tools,OOO-Project,Slip: e1142,10/13/2013
Expense,SamS,Edgartown,Cleanup Supplies,UUU-Project,Slip: e1143,10/13/2013
Expense,ShawnR,Egremont,Pavers,,Slip: e1144,10/13/2013
Expense,TomH,Erving,Wood,AAA-Project,Slip: e1145,10/14/2013
Expense,CoreyM,Essex,First aid,EEE-Project,Slip: e1146,10/14/2013
Expense,ElvisP,Everett,Plants,EVERE-Project01,Slip: e1147,10/14/2013
Expense,SamS,Fairhaven,Landscape Supplies,FAIRH-Project02,Slip: e1148,10/14/2013
Expense,ShawnR,Fall River,Snacks,III-Project,Slip: e1149,10/15/2013
Expense,TomH,Falmouth,Consultants,OOO-Project,Slip: e1150,10/15/2013
Expense,CoreyM,Fitchburg,Hand Tools,UUU-Project,Slip: e1151,10/15/2013
Expense,ElvisP,Florida,Power Tools,,Slip: e1152,10/15/2013
Expense,SamS,Foxborough,Cleanup Supplies,AAA-Project,Slip: e1153,10/16/2013
Expense,ShawnR,Framingham,Pavers,EEE-Project,Slip: e1154,10/16/2013
Expense,TomH,Franklin,Wood,FRANK-Project01,Slip: e1155,10/16/2013
Expense,CoreyM,Freetown,First aid,FREET-Project02,Slip: e1156,10/16/2013
Expense,ElvisP,Gardner,Plants,III-Project,Slip: e1157,10/17/2013
Expense,SamS,Georgetown,Landscape Supplies,OOO-Project,Slip: e1158,10/17/2013
Expense,ShawnR,Gill,Snacks,UUU-Project,Slip: e1159,10/17/2013
Expense,TomH,Gloucester,Consultants,,Slip: e1160,10/17/2013
Expense,CoreyM,Goshen,Hand Tools,AAA-Project,Slip: e1161,10/18/2013
Expense,ElvisP,Gosnold,Power Tools,EEE-Project,Slip: e1162,10/18/2013
Expense,SamS,Grafton,Cleanup Supplies,GRAFT-Project01,Slip: e1163,10/18/2013
Expense,ShawnR,Granby,Pavers,GRANB-Project02,Slip: e1164,10/18/2013
Expense,TomH,Granville,Wood,III-Project,Slip: e1165,10/19/2013
Expense,CoreyM,Great Barrington,First aid,OOO-Project,Slip: e1166,10/19/2013
Expense,ElvisP,Greenfield,Plants,UUU-Project,Slip: e1167,10/19/2013
Expense,SamS,Groton,Landscape Supplies,,Slip: e1168,10/19/2013
Expense,ShawnR,Groveland,Snacks,AAA-Project,Slip: e1169,10/20/2013
Expense,TomH,Hadley,Consultants,EEE-Project,Slip: e1170,10/20/2013
Expense,CoreyM,Halifax,Hand Tools,HALIF-Project01,Slip: e1171,10/20/2013
Expense,ElvisP,Hamilton,Power Tools,HAMIL-Project02,Slip: e1172,10/20/2013
Expense,SamS,Hampden,Cleanup Supplies,III-Project,Slip: e1173,10/21/2013
Expense,ShawnR,Hancock,Pavers,OOO-Project,Slip: e1174,10/21/2013
Expense,TomH,Hanover,Wood,UUU-Project,Slip: e1175,10/21/2013
Expense,CoreyM,Hanson,First aid,,Slip: e1176,10/21/2013
Expense,ElvisP,Hardwick,Plants,AAA-Project,Slip: e1177,10/22/2013
Expense,SamS,Harvard,Landscape Supplies,EEE-Project,Slip: e1178,10/22/2013
Expense,ShawnR,Harwich,Snacks,HARWI-Project01,Slip: e1179,10/22/2013
Expense,TomH,Hatfield,Consultants,HATFI-Project02,Slip: e1180,10/22/2013
Expense,CoreyM,Haverhill,Hand Tools,III-Project,Slip: e1181,10/23/2013
Expense,ElvisP,Hawley,Power Tools,OOO-Project,Slip: e1182,10/23/2013
Expense,SamS,Heath,Cleanup Supplies,UUU-Project,Slip: e1183,10/23/2013
Expense,ShawnR,Hingham,Pavers,,Slip: e1184,10/23/2013
Expense,TomH,Hinsdale,Wood,AAA-Project,Slip: e1185,10/24/2013
Expense,CoreyM,Holbrook,First aid,EEE-Project,Slip: e1186,10/24/2013
Expense,ElvisP,Holden,Plants,HOLDE-Project01,Slip: e1187,10/24/2013
Expense,SamS,Holland,Landscape Supplies,HOLLA-Project02,Slip: e1188,10/24/2013
Expense,ShawnR,Holliston,Snacks,III-Project,Slip: e1189,10/25/2013
Expense,TomH,Holyoke,Consultants,OOO-Project,Slip: e1190,10/25/2013
Expense,CoreyM,Hopedale,Hand Tools,UUU-Project,Slip: e1191,10/25/2013
Expense,ElvisP,Hopkinton,Power Tools,,Slip: e1192,10/25/2013
Expense,SamS,Hubbardston,Cleanup Supplies,AAA-Project,Slip: e1193,10/26/2013
Expense,ShawnR,Hudson,Pavers,EEE-Project,Slip: e1194,10/26/2013
Expense,TomH,Hull,Wood,HULL-Project01,Slip: e1195,10/26/2013
Expense,CoreyM,Huntington,First aid,HUNTI-Project02,Slip: e1196,10/26/2013
Expense,ElvisP,Ipswich,Plants,IPSWI-Project02,Slip: e1197,10/27/2013
Expense,SamS,Kingston,Landscape Supplies,OOO-Project,Slip: e1198,10/27/2013
Expense,ShawnR,Lakeville,Snacks,UUU-Project,Slip: e1199,10/27/2013
Expense,TomH,Lancaster,Consultants,,Slip: e1200,10/27/2013
Expense,CoreyM,Lanesborough,Hand Tools,AAA-Project,Slip: e1201,10/28/2013
Expense,ElvisP,Lawrence,Power Tools,EEE-Project,Slip: e1202,10/28/2013
Expense,SamS,Lee,Cleanup Supplies,III-Project,Slip: e1203,10/28/2013
Expense,ShawnR,Leicester,Pavers,LEICE-Project01,Slip: e1204,10/28/2013
Expense,TomH,Lenox,Wood,LENOX-Project02,Slip: e1205,10/29/2013
Expense,CoreyM,Leominster,First aid,OOO-Project,Slip: e1206,10/29/2013
Expense,ElvisP,Leverett,Plants,UUU-Project,Slip: e1207,10/29/2013
Expense,SamS,Lexington,Landscape Supplies,,Slip: e1208,10/29/2013
Expense,ShawnR,Leyden,Snacks,AAA-Project,Slip: e1209,10/30/2013
Expense,TomH,Lincoln,Consultants,EEE-Project,Slip: e1210,10/30/2013
Expense,CoreyM,Littleton,Hand Tools,III-Project,Slip: e1211,10/30/2013
Expense,ElvisP,Longmeadow,Power Tools,LONGM-Project01,Slip: e1212,10/30/2013
Expense,SamS,Lowell,Cleanup Supplies,LOWEL-Project02,Slip: e1213,10/31/2013
Expense,ShawnR,Ludlow,Pavers,OOO-Project,Slip: e1214,10/31/2013
Expense,TomH,Lunenburg,Wood,UUU-Project,Slip: e1215,10/31/2013
Expense,CoreyM,Lynn,First aid,,Slip: e1216,10/31/2013
Expense,ElvisP,Lynnfield,Plants,AAA-Project,Slip: e1217,11/1/2013
Expense,SamS,Malden,Landscape Supplies,EEE-Project,Slip: e1218,11/1/2013
Expense,ShawnR,Manchester-by-the-Sea,Snacks,III-Project,Slip: e1219,11/1/2013
Expense,TomH,Mansfield,Consultants,MANSF-Project01,Slip: e1220,11/1/2013
Expense,CoreyM,Marblehead,Hand Tools,MARBL-Project02,Slip: e1221,11/2/2013
Expense,ElvisP,Marion,Power Tools,OOO-Project,Slip: e1222,11/2/2013
Expense,SamS,Marlborough,Cleanup Supplies,UUU-Project,Slip: e1223,11/2/2013
Expense,ShawnR,Marshfield,Pavers,,Slip: e1224,11/2/2013
Expense,TomH,Mashpee,Wood,AAA-Project,Slip: e1225,11/3/2013
Expense,CoreyM,Mattapoisett,First aid,EEE-Project,Slip: e1226,11/3/2013
Expense,ElvisP,Maynard,Plants,III-Project,Slip: e1227,11/3/2013
Expense,SamS,Medfield,Landscape Supplies,MEDFI-Project01,Slip: e1228,11/3/2013
Expense,ShawnR,Medford,Snacks,MEDFO-Project02,Slip: e1229,11/4/2013
Expense,TomH,Medway,Consultants,OOO-Project,Slip: e1230,11/4/2013
Expense,CoreyM,Melrose,Hand Tools,UUU-Project,Slip: e1231,11/4/2013
Expense,ElvisP,Mendon,Power Tools,,Slip: e1232,11/4/2013
Expense,SamS,Merrimac,Cleanup Supplies,AAA-Project,Slip: e1233,11/5/2013
Expense,ShawnR,Methuen,Pavers,EEE-Project,Slip: e1234,11/5/2013
Expense,TomH,Middleborough,Wood,III-Project,Slip: e1235,11/5/2013
Expense,CoreyM,Middlefield,First aid,MIDDL-Project01,Slip: e1236,11/5/2013
Expense,ElvisP,Middleton,Plants,MIDDL-Project02,Slip: e1237,11/6/2013
Expense,SamS,Milford,Landscape Supplies,OOO-Project,Slip: e1238,11/6/2013
Expense,ShawnR,Millbury,Snacks,UUU-Project,Slip: e1239,11/6/2013
Expense,TomH,Millis,Consultants,,Slip: e1240,11/6/2013
Expense,CoreyM,Millville,Hand Tools,AAA-Project,Slip: e1241,11/7/2013
Expense,ElvisP,Milton,Power Tools,EEE-Project,Slip: e1242,11/7/2013
Expense,SamS,Monroe,Cleanup Supplies,III-Project,Slip: e1243,11/7/2013
Expense,ShawnR,Monson,Pavers,MONSO-Project01,Slip: e1244,11/7/2013
Expense,TomH,Montague,Wood,MONTA-Project02,Slip: e1245,11/8/2013
Expense,CoreyM,Monterey,First aid,OOO-Project,Slip: e1246,11/8/2013
Expense,ElvisP,Montgomery,Plants,UUU-Project,Slip: e1247,11/8/2013
Expense,SamS,Mount Washington,Landscape Supplies,,Slip: e1248,11/8/2013
Expense,ShawnR,Nahant,Snacks,AAA-Project,Slip: e1249,11/9/2013
Expense,TomH,Nantucket,Consultants,EEE-Project,Slip: e1250,11/9/2013
Expense,CoreyM,Natick,Hand Tools,III-Project,Slip: e1251,11/9/2013
Expense,ElvisP,Needham,Power Tools,NEEDH-Project01,Slip: e1252,11/9/2013
Expense,SamS,New Ashford,Cleanup Supplies,NEWAS-Project02,Slip: e1253,11/10/2013
Expense,ShawnR,New Bedford,Pavers,OOO-Project,Slip: e1254,11/10/2013
Expense,TomH,New Braintree,Wood,UUU-Project,Slip: e1255,11/10/2013
Expense,CoreyM,New Marlborough,First aid,,Slip: e1256,11/10/2013
Expense,ElvisP,New Salem,Plants,AAA-Project,Slip: e1257,11/11/2013
Expense,SamS,Newbury,Landscape Supplies,EEE-Project,Slip: e1258,11/11/2013
Expense,ShawnR,Newburyport,Snacks,III-Project,Slip: e1259,11/11/2013
Expense,TomH,Newton,Consultants,NEWTO-Project01,Slip: e1260,11/11/2013
Expense,CoreyM,Norfolk,Hand Tools,NORFO-Project02,Slip: e1261,11/12/2013
Expense,ElvisP,North Adams,Power Tools,OOO-Project,Slip: e1262,11/12/2013
Expense,SamS,North Andover,Cleanup Supplies,UUU-Project,Slip: e1263,11/12/2013
Expense,ShawnR,North Attleborough,Pavers,,Slip: e1264,11/12/2013
Expense,TomH,North Brookfield,Wood,AAA-Project,Slip: e1265,11/13/2013
Expense,CoreyM,North Reading,First aid,EEE-Project,Slip: e1266,11/13/2013
Expense,ElvisP,Northampton,Plants,III-Project,Slip: e1267,11/13/2013
Expense,SamS,Northborough,Landscape Supplies,NORTH-Project01,Slip: e1268,11/13/2013
Expense,ShawnR,Northbridge,Snacks,NORTH-Project02,Slip: e1269,11/14/2013
Expense,TomH,Northfield,Consultants,OOO-Project,Slip: e1270,11/14/2013
Expense,CoreyM,Norton,Hand Tools,UUU-Project,Slip: e1271,11/14/2013
Expense,ElvisP,Norwell,Power Tools,,Slip: e1272,11/14/2013
Expense,SamS,Norwood,Cleanup Supplies,AAA-Project,Slip: e1273,11/15/2013
Expense,ShawnR,Oak Bluffs,Pavers,EEE-Project,Slip: e1274,11/15/2013
Expense,TomH,Oakham,Wood,III-Project,Slip: e1275,11/15/2013
Expense,CoreyM,Orange,First aid,OOO-Project,Slip: e1276,11/15/2013
Expense,ElvisP,Orleans,Plants,ORLEA-Project01,Slip: e1277,11/16/2013
Expense,SamS,Otis,Landscape Supplies,OTIS-Project02,Slip: e1278,11/16/2013
Expense,ShawnR,Oxford,Snacks,UUU-Project,Slip: e1279,11/16/2013
Expense,TomH,Palmer,Consultants,,Slip: e1280,11/16/2013
Expense,CoreyM,Paxton,Hand Tools,AAA-Project,Slip: e1281,11/17/2013
Expense,ElvisP,Peabody,Power Tools,EEE-Project,Slip: e1282,11/17/2013
Expense,SamS,Pelham,Cleanup Supplies,III-Project,Slip: e1283,11/17/2013
Expense,ShawnR,Pembroke,Pavers,OOO-Project,Slip: e1284,11/17/2013
Expense,TomH,Pepperell,Wood,PEPPE-Project01,Slip: e1285,11/18/2013
Expense,CoreyM,Peru,First aid,PERU-Project02,Slip: e1286,11/18/2013
Expense,ElvisP,Petersham,Plants,UUU-Project,Slip: e1287,11/18/2013
Expense,SamS,Phillipston,Landscape Supplies,,Slip: e1288,11/18/2013
Expense,ShawnR,Pittsfield,Snacks,AAA-Project,Slip: e1289,11/19/2013
Expense,TomH,Plainfield,Consultants,EEE-Project,Slip: e1290,11/19/2013
Expense,CoreyM,Plainville,Hand Tools,III-Project,Slip: e1291,11/19/2013
Expense,ElvisP,Plymouth,Power Tools,OOO-Project,Slip: e1292,11/19/2013
Expense,SamS,Plympton,Cleanup Supplies,PLYMP-Project01,Slip: e1293,11/20/2013
Expense,ShawnR,Princeton,Pavers,PRINC-Project02,Slip: e1294,11/20/2013
Expense,TomH,Provincetown,Wood,UUU-Project,Slip: e1295,11/20/2013
Expense,CoreyM,Quincy,First aid,,Slip: e1296,11/20/2013
Expense,ElvisP,Randolph,Plants,AAA-Project,Slip: e1297,11/21/2013
Expense,SamS,Raynham,Landscape Supplies,EEE-Project,Slip: e1298,11/21/2013
Expense,ShawnR,Reading,Snacks,III-Project,Slip: e1299,11/21/2013
Expense,TomH,Rehoboth,Consultants,OOO-Project,Slip: e1300,11/21/2013
Expense,CoreyM,Revere,Hand Tools,REVER-Project01,Slip: e1301,11/22/2013
Expense,ElvisP,Richmond,Power Tools,RICHM-Project02,Slip: e1302,11/22/2013
Expense,SamS,Rochester,Cleanup Supplies,UUU-Project,Slip: e1303,11/22/2013
Expense,ShawnR,Rockland,Pavers,,Slip: e1304,11/22/2013
Expense,TomH,Rockport,Wood,AAA-Project,Slip: e1305,11/23/2013
Expense,CoreyM,Rowe,First aid,EEE-Project,Slip: e1306,11/23/2013
Expense,ElvisP,Rowley,Plants,III-Project,Slip: e1307,11/23/2013
Expense,SamS,Royalston,Landscape Supplies,OOO-Project,Slip: e1308,11/23/2013
Expense,ShawnR,Russell,Snacks,RUSSE-Project01,Slip: e1309,11/24/2013
Expense,TomH,Rutland,Consultants,RUTLA-Project02,Slip: e1310,11/24/2013
Expense,CoreyM,Salem,Hand Tools,UUU-Project,Slip: e1311,11/24/2013
Expense,ElvisP,Salisbury,Power Tools,,Slip: e1312,11/24/2013
Expense,SamS,Sandisfield,Cleanup Supplies,AAA-Project,Slip: e1313,11/25/2013
Expense,ShawnR,Sandwich,Pavers,EEE-Project,Slip: e1314,11/25/2013
Expense,TomH,Saugus,Wood,III-Project,Slip: e1315,11/25/2013
Expense,CoreyM,Savoy,First aid,OOO-Project,Slip: e1316,11/25/2013
Expense,ElvisP,Scituate,Plants,SCITU-Project01,Slip: e1317,11/26/2013
Expense,SamS,Seekonk,Landscape Supplies,SEEKO-Project02,Slip: e1318,11/26/2013
Expense,ShawnR,Sharon,Snacks,UUU-Project,Slip: e1319,11/26/2013
Expense,TomH,Sheffield,Consultants,,Slip: e1320,11/26/2013
Expense,CoreyM,Shelburne,Hand Tools,AAA-Project,Slip: e1321,11/27/2013
Expense,ElvisP,Sherborn,Power Tools,EEE-Project,Slip: e1322,11/27/2013
Expense,SamS,Shirley,Cleanup Supplies,III-Project,Slip: e1323,11/27/2013
Expense,ShawnR,Shrewsbury,Pavers,OOO-Project,Slip: e1324,11/27/2013
Expense,TomH,Shutesbury,Wood,SHUTE-Project01,Slip: e1325,11/28/2013
Expense,CoreyM,Somerset,First aid,SOMER-Project02,Slip: e1326,11/28/2013
Expense,ElvisP,Somerville,Plants,UUU-Project,Slip: e1327,11/28/2013
Expense,SamS,South Hadley,Landscape Supplies,,Slip: e1328,11/28/2013
Expense,ShawnR,Southampton,Snacks,AAA-Project,Slip: e1329,11/29/2013
Expense,TomH,Southborough,Consultants,EEE-Project,Slip: e1330,11/29/2013
Expense,CoreyM,Southbridge,Hand Tools,III-Project,Slip: e1331,11/29/2013
Expense,ElvisP,Southwick,Power Tools,OOO-Project,Slip: e1332,11/29/2013
Expense,SamS,Spencer,Cleanup Supplies,SPENC-Project01,Slip: e1333,11/30/2013
Expense,ShawnR,Springfield,Pavers,SPRIN-Project02,Slip: e1334,11/30/2013
Expense,TomH,Sterling,Wood,UUU-Project,Slip: e1335,11/30/2013
Expense,CoreyM,Stockbridge,First aid,,Slip: e1336,11/30/2013
Expense,ElvisP,Stoneham,Plants,AAA-Project,Slip: e1337,12/1/2013
Expense,SamS,Stoughton,Landscape Supplies,EEE-Project,Slip: e1338,12/1/2013
Expense,ShawnR,Stow,Snacks,III-Project,Slip: e1339,12/1/2013
Expense,TomH,Sturbridge,Consultants,OOO-Project,Slip: e1340,12/1/2013
Expense,CoreyM,Sudbury,Hand Tools,SUDBU-Project01,Slip: e1341,12/2/2013
Expense,ElvisP,Sunderland,Power Tools,SUNDE-Project02,Slip: e1342,12/2/2013
Expense,SamS,Sutton,Cleanup Supplies,UUU-Project,Slip: e1343,12/2/2013
Expense,ShawnR,Swampscott,Pavers,,Slip: e1344,12/2/2013
Expense,TomH,Swansea,Wood,AAA-Project,Slip: e1345,12/3/2013
Expense,CoreyM,Taunton,First aid,EEE-Project,Slip: e1346,12/3/2013
Expense,ElvisP,Templeton,Plants,III-Project,Slip: e1347,12/3/2013
Expense,SamS,Tewksbury,Landscape Supplies,OOO-Project,Slip: e1348,12/3/2013
Expense,ShawnR,Tisbury,Snacks,TISBU-Project01,Slip: e1349,12/4/2013
Expense,TomH,Tolland,Consultants,TOLLA-Project02,Slip: e1350,12/4/2013
Expense,CoreyM,Topsfield,Hand Tools,UUU-Project,Slip: e1351,12/4/2013
Expense,ElvisP,Townsend,Power Tools,,Slip: e1352,12/4/2013
Expense,SamS,Truro,Cleanup Supplies,AAA-Project,Slip: e1353,12/5/2013
Expense,ShawnR,Tyngsborough,Pavers,EEE-Project,Slip: e1354,12/5/2013
Expense,TomH,Tyringham,Wood,III-Project,Slip: e1355,12/5/2013
Expense,CoreyM,Upton,First aid,OOO-Project,Slip: e1356,12/5/2013
Expense,ElvisP,Uxbridge,Plants,UUU-Project,Slip: e1357,12/6/2013
Expense,SamS,Wakefield,Landscape Supplies,WAKEF-Project01,Slip: e1358,12/6/2013
Expense,ShawnR,Wales,Snacks,WALES-Project02,Slip: e1359,12/6/2013
Expense,TomH,Walpole,Consultants,,Slip: e1360,12/6/2013
Expense,CoreyM,Waltham,Hand Tools,AAA-Project,Slip: e1361,12/7/2013
Expense,ElvisP,Ware,Power Tools,EEE-Project,Slip: e1362,12/7/2013
Expense,SamS,Wareham,Cleanup Supplies,III-Project,Slip: e1363,12/7/2013
Expense,ShawnR,Warren,Pavers,OOO-Project,Slip: e1364,12/7/2013
Expense,TomH,Warwick,Wood,UUU-Project,Slip: e1365,12/8/2013
Expense,CoreyM,Washington,First aid,WASHI-Project01,Slip: e1366,12/8/2013
Expense,ElvisP,Watertown,Plants,WATER-Project02,Slip: e1367,12/8/2013
Expense,SamS,Wayland,Landscape Supplies,,Slip: e1368,12/8/2013
Expense,ShawnR,Webster,Snacks,AAA-Project,Slip: e1369,12/9/2013
Expense,TomH,Wellesley,Consultants,EEE-Project,Slip: e1370,12/9/2013
